Tile,class,x,y
C6832,2,268500,432500
C6932,2,269500,432500
C7032,2,270500,432500
C7132,1,271500,432500
C7232,1,272500,432500
C7332,1,273500,432500
C7432,1,274500,432500
C7532,1,275500,432500
C7632,1,276500,432500
C7732,1,277500,432500
C7832,1,278500,432500
C7932,1,279500,432500
C8032,1,280500,432500
C8132,1,281500,432500
C8232,1,282500,432500
C8332,1,283500,432500
C8432,1,284500,432500
C8532,1,285500,432500
C8632,1,286500,432500
C8732,1,287500,432500
C8832,1,288500,432500
C8932,1,289500,432500
C9032,1,290500,432500
C9132,1,291500,432500
C9232,1,292500,432500
C9332,1,293500,432500
C9432,1,294500,432500
C9532,1,295500,432500
C9632,1,296500,432500
C9732,1,297500,432500
C9832,1,298500,432500
C9932,1,299500,432500
D0032,1,300500,432500
D0132,1,301500,432500
D0232,1,302500,432500
D0332,1,303500,432500
D0432,1,304500,432500
D0532,1,305500,432500
D0632,2,306500,432500
D0732,2,307500,432500
D0832,1,308500,432500
D0932,1,309500,432500
D1032,1,310500,432500
D1132,1,311500,432500
D1232,2,312500,432500
D1332,4,313500,432500
D1432,4,314500,432500
D1532,1,315500,432500
D1632,1,316500,432500
D1732,1,317500,432500
D1832,1,318500,432500
D1932,1,319500,432500
D2032,1,320500,432500
D2132,1,321500,432500
D2232,1,322500,432500
D2332,2,323500,432500
D2432,4,324500,432500
D2532,4,325500,432500
C6431,2,264500,431500
C6531,2,265500,431500
C6631,2,266500,431500
C6731,2,267500,431500
C6831,2,268500,431500
C6931,2,269500,431500
C7031,1,270500,431500
C7131,1,271500,431500
C7231,1,272500,431500
C7331,1,273500,431500
C7431,1,274500,431500
C7531,1,275500,431500
C7631,1,276500,431500
C7731,1,277500,431500
C7831,1,278500,431500
C7931,1,279500,431500
C8031,1,280500,431500
C8131,1,281500,431500
C8231,1,282500,431500
C8331,1,283500,431500
C8431,1,284500,431500
C8531,1,285500,431500
C8631,1,286500,431500
C8731,1,287500,431500
C8831,1,288500,431500
C8931,1,289500,431500
C9031,1,290500,431500
C9131,1,291500,431500
C9231,1,292500,431500
C9331,1,293500,431500
C9431,1,294500,431500
C9531,1,295500,431500
C9631,1,296500,431500
C9731,1,297500,431500
C9831,1,298500,431500
C9931,1,299500,431500
D0031,1,300500,431500
D0131,1,301500,431500
D0231,1,302500,431500
D0331,1,303500,431500
D0431,1,304500,431500
D0531,1,305500,431500
D0631,2,306500,431500
D0731,2,307500,431500
D0831,1,308500,431500
D0931,1,309500,431500
D1031,1,310500,431500
D1131,2,311500,431500
D1231,1,312500,431500
D1331,1,313500,431500
D1431,1,314500,431500
D1531,1,315500,431500
D1631,1,316500,431500
D1731,1,317500,431500
D1831,1,318500,431500
D1931,4,319500,431500
D2031,4,320500,431500
D2131,1,321500,431500
D2231,1,322500,431500
D2331,1,323500,431500
D2431,1,324500,431500
D2531,1,325500,431500
C6430,2,264500,430500
C6530,2,265500,430500
C6630,2,266500,430500
C6730,2,267500,430500
C6830,2,268500,430500
C6930,1,269500,430500
C7030,1,270500,430500
C7130,1,271500,430500
C7230,1,272500,430500
C7330,1,273500,430500
C7430,1,274500,430500
C7530,1,275500,430500
C7630,1,276500,430500
C7730,1,277500,430500
C7830,1,278500,430500
C7930,1,279500,430500
C8030,1,280500,430500
C8130,1,281500,430500
C8230,1,282500,430500
C8330,1,283500,430500
C8430,1,284500,430500
C8530,1,285500,430500
C8630,1,286500,430500
C8730,1,287500,430500
C8830,1,288500,430500
C8930,1,289500,430500
C9030,1,290500,430500
C9130,1,291500,430500
C9230,1,292500,430500
C9330,1,293500,430500
C9430,1,294500,430500
C9530,1,295500,430500
C9630,1,296500,430500
C9730,1,297500,430500
C9830,1,298500,430500
C9930,1,299500,430500
D0030,1,300500,430500
D0130,1,301500,430500
D0230,1,302500,430500
D0330,1,303500,430500
D0430,1,304500,430500
D0530,1,305500,430500
D0630,2,306500,430500
D0730,2,307500,430500
D0830,1,308500,430500
D0930,1,309500,430500
D1030,2,310500,430500
D1130,2,311500,430500
D1230,2,312500,430500
D1330,1,313500,430500
D1430,1,314500,430500
D1530,1,315500,430500
D1630,1,316500,430500
D1730,1,317500,430500
D1830,1,318500,430500
D1930,1,319500,430500
D2030,1,320500,430500
D2130,1,321500,430500
D2230,1,322500,430500
D2330,1,323500,430500
D2430,1,324500,430500
D2530,1,325500,430500
C6229,1,262500,429500
C6329,1,263500,429500
C6429,2,264500,429500
C6529,2,265500,429500
C6629,2,266500,429500
C6729,2,267500,429500
C6829,2,268500,429500
C6929,1,269500,429500
C7029,1,270500,429500
C7129,1,271500,429500
C7229,1,272500,429500
C7329,1,273500,429500
C7429,1,274500,429500
C7529,1,275500,429500
C7629,1,276500,429500
C7729,1,277500,429500
C7829,1,278500,429500
C7929,1,279500,429500
C8029,1,280500,429500
C8129,1,281500,429500
C8229,1,282500,429500
C8329,1,283500,429500
C8429,1,284500,429500
C8529,1,285500,429500
C8629,1,286500,429500
C8729,1,287500,429500
C8829,1,288500,429500
C8929,1,289500,429500
C9029,1,290500,429500
C9129,1,291500,429500
C9229,1,292500,429500
C9329,1,293500,429500
C9429,1,294500,429500
C9529,1,295500,429500
